customer_country                                   total_rental_sales                      SalesRank
Skikda                                             37
Beira                                              37
Balikesir                                          37

(20 rows affected)

name                      rental_quantity SalesRank            Rental_amount
------------------------- --------------- -------------------- ---------------------------------------
Sports                    1179            1                    5314.21
Sci-Fi                    1101            2                    4756.98
Animation                 1166            3                    4656.30
Drama                     1060            4                    4587.39
Comedy                    941             5                    4383.58
Action                    1112            6                    4375.85
New                       940             7                    4351.62
Games                     969             8                    4281.33
Foreign                   1033            9                    4270.67
Family                    1096            10                   4226.07
Documentary               1050            11                   4217.52
Horror                    846             12                   3722.54
Children                  945             13                   3655.55
Classics                  939             14                   3639.59
Travel                    837             15                   3549.64
Music                     830             16                   3417.72

(16 rows affected)

category_id name                      rental_amount                           SalesRank
----------- ------------------------- --------------------------------------- --------------------
15          Sports                    5314.21                                 1
14          Sci-Fi                    4756.98                                 2
2           Animation                 4656.30                                 3
7           Drama                     4587.39                                 4
5           Comedy                    4383.58                                 5
1           Action                    4375.85                                 6
13          New                       4351.62                                 7
10          Games                     4281.33                                 8
9           Foreign                   4270.67                                 9
8           Family                    4226.07                                 10
6           Documentary               4217.52                                 11
11          Horror                    3722.54                                 12
3           Children                  3655.55                                 13
4           Classics                  3639.59                                 14
16          Travel                    3549.64                                 15
12          Music                     3417.72                                 16

(16 rows affected)

category_id avg_amount                              AvgSalesRank
----------- --------------------------------------- --------------------
5           4.658427                                1
13          4.629382                                2
15          4.507387                                3
10          4.418297                                4
11          4.400165                                5
7           4.327726                                6
14          4.320599                                7
16          4.240908                                8
9           4.134240                                9
12          4.117734                                10
6           4.016685                                11
2           3.993396                                12
1           3.935116                                13
4           3.876027                                14
3           3.868306                                15
8           3.855903                                16

(16 rows affected)

name                      
------------------------- -----------
Sports                    1179
Animation                 1166
Action                    1112
Sci-Fi                    1101
Family                    1096
Drama                     1060
Documentary               1050
Foreign                   1033
Games                     969
Children                  945
Comedy                    941
New                       940
Classics                  939
Horror                    846
Travel                    837
Music                     830

(16 rows affected)

name                      rental_amount
------------------------- ---------------------------------------
Sports                    5314.21
Sci-Fi                    4756.98
Animation                 4656.30
Drama                     4587.39
Comedy                    4383.58
Action                    4375.85
New                       4351.62
Games                     4281.33
Foreign                   4270.67
Family                    4226.07
Documentary               4217.52
Horror                    3722.54
Children                  3655.55
Classics                  3639.59
Travel                    3549.64
Music                     3417.72

(16 rows affected)

title                                                                                                                                                                                                                                                           rental_amount                           quantity    rating     rental_rate                             replacement_cost                        name
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- --------------------------------------- ----------- ---------- --------------------------------------- --------------------------------------- -------------------------
ACADEMY DINOSAUR                                                                                                                                                                                                                                                36.77                                   23          PG         0.99                                    20.99                                   Documentary
ACE GOLDFINGER                                                                                                                                                                                                                                                  52.93                                   7           G          4.99                                    12.99                                   Horror
ADAPTATION HOLES                                                                                                                                                                                                                                                37.88                                   12          NC-17      2.99                                    18.99                                   Documentary
AFFAIR PREJUDICE                                                                                                                                                                                                                                                91.77                                   23          G          2.99                                    26.99                                   Horror
AFRICAN EGG                                                                                                                                                                                                                                                     51.88                                   12          G          2.99                                    22.99                                   Family
AGENT TRUMAN                                                                                                                                                                                                                                                    126.79                                  21          PG         2.99                                    17.99                                   Foreign
AIRPLANE SIERRA                                                                                                                                                                                                                                                 82.85                                   15          PG-13      4.99                                    28.99                                   Comedy
AIRPORT POLLOCK                                                                                                                                                                                                                                                 102.82                                  18          R          4.99                                    15.99                                   Horror
ALABAMA DEVIL                                                                                                                                                                                                                                                   71.88                                   12          PG-13      2.99                                    21.99                                   Horror
ALADDIN CALENDAR                                                                                                                                                                                                                                                131.77                                  23          NC-17      4.99                                    24.99                                   Sports
ALAMO VIDEOTAPE                                                                                                                                                                                                                                                 35.76                                   24          G          0.99                                    16.99                                   Foreign
ALASKA PHANTOM                                                                                                                                                                                                                                                  44.74                                   26          PG         0.99                                    22.99                                   Music
ALI FOREVER                                                                                                                                                                                                                                                     54.91                                   9           PG         4.99                                    21.99                                   Horror
ALIEN CENTER                                                                                                                                                                                                                                                    90.78                                   22          NC-17      2.99                                    10.99                                   Foreign
ALLEY EVOLUTION                                                                                                                                                                                                                                                 52.86                                   14          NC-17      2.99                                    23.99                                   Foreign
ALONE TRIP                                                                                                                                                                                                                                                      62.82                                   18          R          0.99                                    14.99                                   Music
ALTER VICTORY                                                                                                                                                                                                                                                   32.78                                   22          PG-13      0.99                                    27.99                                   Animation
AMADEUS HOLY                                                                                                                                                                                                                                                    33.79                                   21          PG         0.99                                    20.99                                   Action
AMELIE HELLFIGHTERS                                                                                                                                                                                                                                             67.90                                   10          R          4.99                                    23.99                                   Music
AMERICAN CIRCUS                                                                                                                                                                                                                                                 167.78                                  22          R          4.99                                    17.99                                   Action
AMISTAD MIDSUMMER                                                                                                                                                                                                                                               70.79                                   21          G          2.99                                    10.99                                   New
ANACONDA CONFESSIONS                                                                                                                                                                                                                                            60.79                                   21          R          0.99                                    9.99                                    Animation
ANALYZE HOOSIERS                                                                                                                                                                                                                                                55.86                                   14          R          2.99                                    19.99                                   Horror
ANGELS LIFE                                                                                                                                                                                                                                                     119.78                                  22          G          2.99                                    15.99                                   New
ANNIE IDENTITY                                                                                                                                                                                                                                                  59.78                                   22          G          0.99                                    15.99                                   Sci-Fi
ANONYMOUS HUMAN                                                                                                                                                                                                                                                 17.87                                   13          NC-17      0.99                                    12.99                                   Sports
ANTHEM LUKE                                                                                                                                                                                                                                                     85.85                                   15          PG-13      4.99                                    16.99                                   Comedy
ANTITRUST TOMATOES                                                                                                                                                                                                                                              37.90                                   10          NC-17      2.99                                    11.99                                   Action
ANYTHING SAVANNAH                                                                                                                                                                                                                                               46.91                                   9           R          2.99                                    27.99                                   Horror
APACHE DIVINE                                                                                                                                                                                                                                                   178.69                                  31          NC-17      4.99                                    16.99                                   Family
APOCALYPSE FLAMINGOS                                                                                                                                                                                                                                            30.94                                   6           R          4.99                                    11.99                                   New
ARABIA DOGMA                                                                                                                                                                                                                                                    22.87                                   13          NC-17      0.99                                    29.99                                   Horror
ARACHNOPHOBIA ROLLERCOASTER                                                                                                                                                                                                                                     114.76                                  24          PG-13      2.99                                    24.99                                   Horror
ARIZONA BANG                                                                                                                                                                                                                                                    104.79                                  21          PG         2.99                                    28.99                                   Classics
ARMAGEDDON LOST                                                                                                                                                                                                                                                 45.79                                   21          G          0.99                                    10.99                                   Sci-Fi
ARMY FLINTSTONES                                                                                                                                                                                                                                                41.84                                   16          R          0.99                                    22.99                                   Documentary
ARTIST COLDBLOODED                                                                                                                                                                                                                                              69.84                                   16          NC-17      2.99                                    10.99                                   Sports
ATLANTIS CAUSE                                                                                                                                                                                                                                                  87.76                                   24          G          2.99                                    15.99                                   Family
ATTACKS HATE                                                                                                                                                                                                                                                    101.84                                  16          PG-13      4.99                                    21.99                                   Sci-Fi
ATTRACTION NEWTON                                                                                                                                                                                                                                               146.76                                  24          PG-13      4.99                                    14.99                                   New
AUTUMN CROW                                                                                                                                                                                                                                                     84.89                                   11          G          4.99                                    13.99                                   Games
BABY HALL                                                                                                                                                                                                                                                       45.92                                   8           NC-17      4.99                                    23.99                                   Foreign
BACKLASH UNDEFEATED                                                                                                                                                                                                                                             158.81                                  19          PG-13      4.99                                    24.99                                   Children
BADMAN DAWN                                                                                                                                                                                                                                                     76.79                                   21          R          2.99                                    22.99                                   Sci-Fi
BAKED CLEOPATRA                                                                                                                                                                                                                                                 79.84                                   16          G          2.99                                    20.99                                   Family
BALLOON HOMEWARD                                                                                                                                                                                                                                                98.77                                   23          NC-17      2.99                                    10.99                                   Music
BALLROOM MOCKINGBIRD                                                                                                                                                                                                                                            10.92                                   8           G          0.99                                    29.99                                   Foreign
BANG KWAI                                                                                                                                                                                                                                                       22.93                                   7           NC-17      2.99                                    25.99                                   Family
BANGER PINOCCHIO                                                                                                                                                                                                                                                42.78                                   22          R          0.99                                    15.99                                   Music
BARBARELLA STREETCAR                                                                                                                                                                                                                                            96.75                                   25          G          2.99                                    27.99                                   Sci-Fi
BAREFOOT MANCHURIAN                                                                                                                                                                                                                                             66.82                                   18          G          2.99                                    15.99                                   Action
BASIC EASY                                                                                                                                                                                                                                                      90.79                                   21          PG-13      2.99                                    18.99                                   Travel
BEACH HEARTBREAKERS                                                                                                                                                                                                                                             64.83                                   17          G          2.99                                    16.99                                   Documentary
BEAR GRACELAND                                                                                                                                                                                                                                                  107.78                                  22          R          2.99                                    20.99                                   Children
BEAST HUNCHBACK                                                                                                                                                                                                                                                 76.89                                   11          R          4.99                                    22.99                                   Classics
BEAUTY GREASE                                                                                                                                                                                                                                                   132.78                                  22          G          4.99                                    28.99                                   Drama
BED HIGHBALL                                                                                                                                                                                                                                                    24.94                                   6           NC-17      2.99                                    23.99                                   Documentary
BEDAZZLED MARRIED                                                                                                                                                                                                                                               16.87                                   13          PG         0.99                                    21.99                                   Family
BEETHOVEN EXORCIST                                                                                                                                                                                                                                              16.89                                   11          PG-13      0.99                                    26.99                                   Drama
BEHAVIOR RUNAWAY                                                                                                                                                                                                                                                100.87                                  13          PG         4.99                                    20.99                                   Horror
BENEATH RUSH                                                                                                                                                                                                                                                    16.90                                   10          NC-17      0.99                                    27.99                                   Children
BERETS AGENT                                                                                                                                                                                                                                                    78.78                                   21          PG-13      2.99                                    24.99                                   Action
BETRAYED REAR                                                                                                                                                                                                                                                   91.85                                   15          NC-17      4.99                                    26.99                                   Children
BEVERLY OUTLAW                                                                                                                                                                                                                                                  115.79                                  21          R          2.99                                    21.99                                   Sci-Fi
BIKINI BORROWERS                                                                                                                                                                                                                                                98.83                                   17          NC-17      4.99                                    26.99                                   Animation
BILKO ANONYMOUS                                                                                                                                                                                                                                                 102.87                                  13          PG-13      4.99                                    25.99                                   Family
BILL OTHERS                                                                                                                                                                                                                                                     67.81                                   19          PG         2.99                                    12.99                                   Documentary
BINGO TALENTED                                                                                                                                                                                                                                                  131.71                                  29          PG-13      2.99                                    22.99                                   Sci-Fi
BIRCH ANTITRUST                                                                                                                                                                                                                                                 74.89                                   11          PG         4.99                                    18.99                                   Music
BIRD INDEPENDENCE                                                                                                                                                                                                                                               63.89                                   11          G          4.99                                    14.99                                   Travel
BIRDCAGE CASPER                                                                                                                                                                                                                                                 23.91                                   9           NC-17      0.99                                    23.99                                   Music
BIRDS PERDITION                                                                                                                                                                                                                                                 111.82                                  18          G          4.99                                    15.99                                   New
BLACKOUT PRIVATE                                                                                                                                                                                                                                                91.73                                   27          PG         2.99                                    12.99                                   Animation
BLADE POLISH                                                                                                                                                                                                                                                    34.79                                   22          PG-13      0.99                                    10.99                                   Drama
BLANKET BEVERLY                                                                                                                                                                                                                                                 40.88                                   12          G          2.99                                    21.99                                   Family
BLINDNESS GUN                                                                                                                                                                                                                                                   76.86                                   14          PG-13      4.99                                    29.99                                   Sci-Fi
BLOOD ARGONAUTS                                                                                                                                                                                                                                                 38.90                                   10          G          0.99                                    13.99                                   Family
BLUES INSTINCT                                                                                                                                                                                                                                                  84.79                                   21          G          2.99                                    18.99                                   Family
BOILED DARES                                                                                                                                                                                                                                                    77.85                                   15          PG         4.99                                    13.99                                   Travel
BONNIE HOLOCAUST                                                                                                                                                                                                                                                32.84                                   16          G          0.99                                    29.99                                   Documentary
BOOGIE AMELIE                                                                                                                                                                                                                                                   163.70                                  29          R          4.99                                    11.99                                   Music
BORN SPINAL                                                                                                                                                                                                                                                     59.88                                   12          PG         4.99                                    17.99                                   Travel
BORROWERS BEDAZZLED                                                                                                                                                                                                                                             27.78                                   22          G          0.99                                    22.99                                   Animation
BOULEVARD MOB                                                                                                                                                                                                                                                   63.82                                   18          R          0.99                                    11.99                                   New
BOUND CHEAPER                                                                                                                                                                                                                                                   50.76                                   24          PG         0.99                                    17.99                                   Classics
BOWFINGER GABLES                                                                                                                                                                                                                                                56.89                                   11          NC-17      4.99                                    19.99                                   Horror
BRANNIGAN SUNRISE                                                                                                                                                                                                                                               74.88                                   12          PG         4.99                                    27.99                                   New
BRAVEHEART HUMAN                                                                                                                                                                                                                                                16.95                                   5           PG-13      2.99                                    14.99                                   Family
BREAKFAST GOLDFINGER                                                                                                                                                                                                                                            109.83                                  17          G          4.99                                    18.99                                   New
BREAKING HOME                                                                                                                                                                                                                                                   51.87                                   13          PG-13      2.99                                    21.99                                   New
BRIDE INTRIGUE                                                                                                                                                                                                                                                  21.81                                   19          G          0.99                                    24.99                                   Action
BRIGHT ENCOUNTERS                                                                                                                                                                                                                                               92.87                                   13          PG-13      4.99                                    12.99                                   Drama
BRINGING HYSTERICAL                                                                                                                                                                                                                                             71.80                                   20          PG         2.99                                    14.99                                   Comedy
BROOKLYN DESERT                                                                                                                                                                                                                                                 116.79                                  21          R          4.99                                    21.99                                   Foreign
BROTHERHOOD BLANKET                                                                                                                                                                                                                                             101.74                                  26          R          0.99                                    26.99                                   Documentary
BUBBLE GROSSE                                                                                                                                                                                                                                                   35.94                                   6           R          4.99                                    20.99                                   Sports
